region,state,line_code,factor,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1999_percent_change,2000_percent_change,2001_percent_change,2002_percent_change,2003_percent_change,2004_percent_change,2005_percent_change,2006_percent_change,2007_percent_change,2008_percent_change,2009_percent_change,2010_percent_change,2011_percent_change,2012_percent_change,2013_percent_change,2014_percent_change,2015_percent_change,2016_percent_change,2017_percent_change,2018_percent_change,2019_percent_change,2020_percent_change,2021_percent_change,2022_percent_change
,United States,15,  Total employment (number of jobs),158481200,161531300,165370800,165522200,165095100,165921500,168839700,172338400,175868600,179543700,179213900,173636700,172901700,176091700,178979700,182328100,186239800,190325800,193425900,196394100,200292200,201635200,195286600,202752100,212442000,0.019245816,0.023769387,0.000915518,-0.002580319,0.0050056,0.017587835,0.020722022,0.020484117,0.020896851,-0.001836879,-0.031120354,-0.004232976,0.01844979,0.016400546,0.018708267,0.021454181,0.021939457,0.016288385,0.015345411,0.019848356,0.006705204,-0.031485574,0.038228429,0.04779186
hi_ak,Alaska,1,  Real GDP (millions of chained 2017 dollars) 1,,,,,,,,,,,,,,,,,,,,53550.9,52479.6,52325.3,50344.6,51021.8,50315.1,,,,,,,,,,,,,,,,,,,,-0.020005266,-0.00294019,-0.037853581,0.013451294,-0.013850942
hi_ak,Alaska,2,  Real personal income (millions of constant (2017) dollars) 2,,,,,,,,,,,35489.4,34976.6,37928.9,39548.5,40261.6,39493.9,40913.7,41763.3,40448.3,40068.6,40876.8,41797.3,42899.4,42305.5,42598.6,,,,,,,,,,,-0.014449385,0.084407861,0.042700948,0.018031025,-0.019067797,0.035949856,0.02076566,-0.031486975,-0.009387292,0.020170408,0.022518886,0.026367732,-0.013844016,0.006928177
hi_ak,Alaska,3,  Real PCE (millions of constant (2017) dollars) 3,,,,,,,,,,,28865.5,28761.4,30555.8,31230.3,32002.7,32394.9,32817.5,33095.6,33216.1,33306.8,33814.2,34535.9,33013.4,34702.3,36681.6,,,,,,,,,,,-0.003606381,0.062389174,0.022074369,0.024732391,0.012255216,0.013045263,0.008474137,0.003640967,0.002730604,0.015234126,0.021343104,-0.044084561,0.051158015,0.057036565
hi_ak,Alaska,4,  Gross domestic product (GDP),,,,,,,,,,,,,,,,,,,,53550.9,54762,54469.9,51261.5,58646,65698.8,,,,,,,,,,,,,,,,,,,,0.022615866,-0.005333991,-0.058902256,0.14405548,0.120260546
hi_ak,Alaska,5,  Personal income,18155.9,18706.6,20092.2,21287.1,22331.5,23372.1,24429.2,26019.6,27696.2,29761.3,32860.7,32995.4,35374.3,37870.6,38997.1,38565.1,40642.1,41918.6,41285.5,41919.4,43522.7,44507.6,45366.3,48207.9,50349.7,0.030331738,0.074070114,0.059470839,0.049062578,0.046597855,0.045229141,0.065102418,0.064436041,0.074562575,0.104141956,0.004099121,0.072097929,0.070568181,0.02974603,-0.011077747,0.053856985,0.031408318,-0.015103081,0.015354059,0.038247208,0.02262957,0.019293334,0.062636803,0.044428403
hi_ak,Alaska,6,  Disposable personal income,16187.6,16719.1,17933,18968.7,20293,21450.3,22543.5,23868,25276.3,26972.1,29693.1,30530.9,32703.9,34789.2,35945.3,35184.4,37075.5,38075.3,37704.1,38525.4,40309.8,41045.3,42025.7,44143.4,45685.6,0.032833774,0.072605583,0.057753862,0.069815011,0.057029518,0.050964322,0.058753077,0.059003687,0.067090516,0.100882023,0.028215309,0.071173794,0.063763037,0.033231578,-0.021168275,0.053748252,0.026966595,-0.009749102,0.021782777,0.046317494,0.018246183,0.023885804,0.050390594,0.03493614
hi_ak,Alaska,7,  Personal consumption expenditures,14946.5,15883.5,17107.7,18123.5,19432.2,20557.2,21847.5,23354.8,24275.1,25617,26749.3,27166.7,28537.5,29947.6,31039.1,31673.2,32641.4,33274.4,33976.4,34926.8,36077.1,36844.1,35006,39632.5,43412.8,0.062690262,0.077073693,0.059376772,0.072210114,0.057893599,0.06276633,0.068991876,0.039405176,0.055278866,0.044201116,0.015604147,0.050458834,0.049412177,0.036446994,0.020429072,0.03056843,0.019392551,0.0210973,0.027972357,0.032934595,0.021260024,-0.049888585,0.132163058,0.095383839
hi_ak,Alaska,8,  Real per capita personal income 4,,,,,,,,,,,51624,50046,53121,54738,55069,53511,55466,56504,54409,54005,55410,56881,58532,57623,58069,,,,,,,,,,,-0.030567178,0.061443472,0.030439939,0.006046987,-0.028291779,0.036534544,0.018714167,-0.037077021,-0.007425242,0.02601611,0.026547555,0.029025509,-0.015529967,0.007739965
hi_ak,Alaska,9,  Real per capita PCE 5,,,,,,,,,,,41989,41153,42794,43225,43773,43892,44490,44777,44681,44891,45836,46999,45044,47267,50003,,,,,,,,,,,-0.019909976,0.039875586,0.010071505,0.012677848,0.002718571,0.013624351,0.006450888,-0.002143958,0.004699984,0.02105099,0.025373069,-0.04159663,0.049351745,0.057883936
hi_ak,Alaska,10,  Per capita personal income 6,29287,29941,31996,33591,34766,36045,37054,39013,41013,43747,47800,47211,49543,52415,53340,52252,55098,56714,55535,56499,58997,60569,61898,65662,68635,0.022330727,0.068634982,0.049849981,0.034979608,0.036788817,0.027992787,0.052868786,0.051264963,0.06666179,0.092646353,-0.012322176,0.049395268,0.057969844,0.01764762,-0.02039745,0.054466815,0.029329558,-0.020788518,0.017358423,0.044213172,0.026645423,0.021941917,0.060809719,0.045277329
hi_ak,Alaska,11,  Per capita disposable personal income 7,26112,26760,28557,29933,31592,33081,34194,35787,37430,39647,43193,43684,45803,48150,49166,47672,50262,51514,50718,51925,54641,55857,57340,60126,62277,0.024816176,0.067152466,0.048184333,0.05542378,0.047132185,0.03364469,0.046587121,0.045910526,0.059230564,0.089439302,0.011367583,0.048507463,0.051241185,0.021100727,-0.030386853,0.054329586,0.024909474,-0.01545211,0.023798257,0.052306211,0.022254351,0.02654994,0.048587374,0.035774873
hi_ak,Alaska,12,  Per capita personal consumption expenditures (PCE) 8,24110,25423,27243,28599,30252,31704,33138,35017,35947,37656,38911,38871,39968,41449,42455,42914,44251,45018,45703,47074,48904,50140,47762,53982,59179,0.054458731,0.071588719,0.049774254,0.057799224,0.047996827,0.045230886,0.056702275,0.026558529,0.047542215,0.033328022,-0.001027987,0.028221553,0.037054644,0.024270791,0.010811447,0.031155334,0.017332942,0.015216136,0.029998031,0.038874963,0.025274006,-0.047427204,0.130229052,0.096272832
hi_ak,Alaska,13,  Regional price parities (RPPs) 9,,,,,,,,,,,103.924,106.224,103.183,103.328,102.597,102.079,102.412,103.331,104.075,104.864,104.552,103.063,101.339,104.776,101.989,,,,,,,,,,,0.022131558,-0.028628182,0.00140527,-0.007074559,-0.005048881,0.003262179,0.008973558,0.007200163,0.007581071,-0.002975282,-0.014241717,-0.016727633,0.033915867,-0.026599603
hi_ak,Alaska,14,  Implicit regional price deflator 10,,,,,,,,,,,92.669,94.455,93.395,95.893,96.989,97.772,99.463,100.54,102.289,104.864,106.692,106.683,106.035,114.207,118.35,,,,,,,,,,,0.019272896,-0.011222275,0.026746614,0.011429406,0.00807308,0.01729534,0.010828147,0.017396061,0.025173772,0.017432103,-8.4355E-05,-0.00607407,0.077068892,0.036276235
hi_ak,Alaska,15,  Total employment (number of jobs),382166,381307,389734,394565,402192,405625,413869,421422,431321,439844,443602,442505,443940,450420,459282,461205,461371,461707,457142,455550,454776,454743,430840,443047,457687,-0.002247714,0.022100302,0.012395634,0.019330148,0.008535724,0.020324191,0.018249736,0.023489519,0.019760225,0.008543938,-0.002472937,0.003242901,0.014596567,0.01967497,0.00418697,0.000359927,0.000728264,-0.009887223,-0.003482507,-0.001699045,-7.25632E-05,-0.052563756,0.028333024,0.033043898
hi_ak,Hawaii,1,  Real GDP (millions of chained 2017 dollars) 1,,,,,,,,,,,,,,,,,,,,87436.4,88836.4,88945.3,79592.5,84121.5,85211.4,,,,,,,,,,,,,,,,,,,,0.016011638,0.001225849,-0.105152268,0.056902346,0.01295626
hi_ak,Hawaii,2,  Real personal income (millions of constant (2017) dollars) 2,,,,,,,,,,,57070.7,55419.6,57291.7,58168.3,59780.8,57699.9,60764.2,62961.5,65647.9,66836.5,66685.8,68043.2,70085.7,72682.1,69265.6,,,,,,,,,,,-0.028930782,0.033780468,0.015300646,0.027721285,-0.034808835,0.053107544,0.036161095,0.042667344,0.018105682,-0.002254756,0.020355158,0.030017695,0.037046074,-0.047006072
hi_ak,Hawaii,3,  Real PCE (millions of constant (2017) dollars) 3,,,,,,,,,,,48429.6,46921.1,48490.1,48823.3,50291.7,49977.2,51696.5,52715.4,54277,55519.3,56564.7,57741.4,53968.4,58454.4,61198.2,,,,,,,,,,,-0.031148306,0.033439114,0.006871506,0.030075804,-0.006253517,0.034401687,0.019709265,0.029623222,0.022888148,0.018829488,0.020802727,-0.065343064,0.083122716,0.046939153
hi_ak,Hawaii,4,  Gross domestic product (GDP),,,,,,,,,,,,,,,,,,,,87436.4,90933.5,93356.2,84615.2,93089.8,101082.6,,,,,,,,,,,,,,,,,,,,0.039995928,0.026642546,-0.093630632,0.100154582,0.085861179
hi_ak,Hawaii,5,  Personal income,32355.7,33425.6,35403.1,36996.8,38865.6,40734.2,43729.2,46898.1,50182.6,53022.5,55802.6,55409,56649.4,59226.4,61161.6,61983.4,65182.2,68200.8,70744.8,73646.4,75266.4,78551.8,82761.3,88948,88973.3,0.033066817,0.059161242,0.045015832,0.050512477,0.048078506,0.073525441,0.072466453,0.07003482,0.056591328,0.052432458,-0.007053435,0.022386255,0.045490332,0.032674618,0.013436535,0.051607366,0.046310189,0.037301615,0.041015029,0.021997002,0.043650288,0.053588842,0.074753538,0.000284436
hi_ak,Hawaii,6,  Disposable personal income,28491.1,29390.4,31057.3,32527.2,34819.3,36733.3,39412.9,41780.6,44609.2,47113,49878.4,50635.3,51879.6,53784.4,55487.6,55608.1,58411.7,60613.2,62818,65432.2,67147.3,69829.4,73819.6,77946,76453,0.031564243,0.056715798,0.047328647,0.070467178,0.054969514,0.072947435,0.06007424,0.067701278,0.056127436,0.058697175,0.015174905,0.024573766,0.03671578,0.031667175,0.002171656,0.050417115,0.037689367,0.036374915,0.041615461,0.026211865,0.039943527,0.057142121,0.055898433,-0.019154286
hi_ak,Hawaii,7,  Personal consumption expenditures,27488.8,28515.2,30345.4,31527.9,32673.8,34793.6,37263.4,40427.1,43283.7,45387.4,47392.4,46971.6,48013.4,49781.6,51522.3,53755.6,55526.2,57197.6,58616.6,61319.4,63974.4,66783.5,63900.8,71696.3,78713.6,0.037338843,0.064183313,0.038968015,0.036345586,0.06487767,0.070984319,0.084901002,0.070660522,0.048602592,0.044175256,-0.008879061,0.022179359,0.036827219,0.034966735,0.043346279,0.032937964,0.030101105,0.024808733,0.046109805,0.04329788,0.043909751,-0.043164854,0.121993778,0.097875344
hi_ak,Hawaii,8,  Real per capita personal income 4,,,,,,,,,,,42839,41152,41970,42000,42548,40543,42368,43527,45057,45830,45669,46700,48300,50224,48095,,,,,,,,,,,-0.039380004,0.019877527,0.000714796,0.013047619,-0.047123249,0.045013936,0.027355551,0.035150596,0.017156047,-0.003512983,0.022575489,0.034261242,0.039834369,-0.042390092
hi_ak,Hawaii,9,  Real per capita PCE 5,,,,,,,,,,,36353,34841,35522,35253,35794,35117,36045,36444,37252,38070,38738,39629,37193,40393,42493,,,,,,,,,,,-0.041592166,0.019545937,-0.007572772,0.015346212,-0.018913784,0.026425948,0.011069496,0.022171002,0.021958553,0.017546625,0.023000671,-0.061470136,0.086037695,0.051989206
hi_ak,Hawaii,10,  Per capita personal income 6,26625,27618,29174,30178,31353,32557,34336,36278,38315,40301,41887,41144,41499,42765,43531,43553,45448,47150,48555,50499,51546,53912,57036,61464,61779,0.037295775,0.056340068,0.034414204,0.038935648,0.038401429,0.054642627,0.056558714,0.056149733,0.051833486,0.039353862,-0.0177382,0.008628233,0.030506759,0.017911844,0.000505387,0.043510206,0.037449393,0.029798515,0.040037071,0.020733084,0.045900749,0.057946283,0.077635178,0.005124951
hi_ak,Hawaii,11,  Per capita disposable personal income 7,23445,24284,25593,26532,28089,29360,30947,32320,34060,35809,37440,37599,38005,38835,39492,39073,40727,41904,43114,44867,45986,47926,50873,53862,53085,0.035785882,0.053903805,0.03668972,0.058683853,0.04524903,0.054053134,0.044366174,0.053836634,0.051350558,0.045547209,0.004246795,0.01079816,0.021839232,0.016917729,-0.010609744,0.042331021,0.028899747,0.028875525,0.040659647,0.024940379,0.042186752,0.061490631,0.058754152,-0.014425755
hi_ak,Hawaii,12,  Per capita personal consumption expenditures (PCE) 8,22620,23560,25006,25717,26358,27809,29259,31273,33048,34497,35574,34879,35173,35945,36670,37772,38715,39543,40231,42047,43813,45835,44038,49543,54655,0.041556145,0.061375212,0.028433176,0.024925147,0.0550497,0.052141393,0.068833521,0.056758226,0.043845316,0.031220106,-0.01953674,0.008429141,0.021948654,0.020169704,0.030051813,0.024965583,0.021387059,0.017398781,0.04513932,0.042000618,0.046150686,-0.039205847,0.125005677,0.103183093
hi_ak,Hawaii,13,  Regional price parities (RPPs) 9,,,,,,,,,,,109.744,112.581,109.395,109.869,108.37,112.299,110.592,111.515,109.881,110.447,110.831,111.734,113.159,112.525,110.839,,,,,,,,,,,0.025851072,-0.028299624,0.004332922,-0.013643521,0.036255421,-0.015200492,0.008345992,-0.014652737,0.005151027,0.003476781,0.00814754,0.012753504,-0.005602736,-0.014983337
hi_ak,Hawaii,14,  Implicit regional price deflator 10,,,,,,,,,,,97.858,100.108,99.017,101.963,102.447,107.56,107.408,108.503,107.995,110.447,113.099,115.66,118.404,122.653,128.621,,,,,,,,,,,0.022992499,-0.01089823,0.029752467,0.00474682,0.049908733,-0.001413165,0.010194771,-0.004681898,0.022704755,0.024011517,0.022643878,0.02372471,0.035885612,0.048657595
hi_ak,Hawaii,15,  Total employment (number of jobs),738175,738111,749439,752548,757694,773609,797234,819967,842375,864610,858384,829885,824450,834994,849130,868191,882702,901126,914921,921135,924352,914019,817697,861096,903622,-8.67003E-05,0.015347285,0.004148436,0.006838102,0.021004522,0.030538683,0.02851484,0.027327929,0.026395608,-0.007200935,-0.033200759,-0.0065491,0.012789132,0.016929463,0.022447682,0.016714064,0.020872276,0.015308625,0.006791843,0.003492431,-0.011178642,-0.10538293,0.053074672,0.049385899
midwest,Illinois,1,  Real GDP (millions of chained 2017 dollars) 1,,,,,,,,,,,,,,,,,,,,832826.8,851517.2,857985,810210.1,852749.1,864170.9,,,,,,,,,,,,,,,,,,,,0.022442121,0.007595619,-0.055682675,0.052503665,0.013394092
midwest,Illinois,2,  Real personal income (millions of constant (2017) dollars) 2,,,,,,,,,,,617142.7,583187.4,588136.5,601149.1,622873,631664.9,651001.4,683753.2,680906.2,685318.8,707358.8,722325.9,752459.8,775011.6,725403.6,,,,,,,,,,,-0.055020176,0.008486294,0.022125136,0.036137291,0.014115076,0.030611959,0.050309876,-0.004163783,0.006480481,0.032160215,0.021159135,0.041717873,0.029970771,-0.064009365
